,x,y,z,average2,average3,average4,average5,average6,complete2,complete3,complete4,complete5,complete6,single2,single3,single4,single5,single6,ward2,ward3,ward4,ward5,ward6
X1_27,-8.288950064355795,-6.5604664223297675,12.517856897107901,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
X1_33,12.882843858830755,-9.861313130544566,-17.082484449773972,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_32,22.076548869994625,19.64528001492147,0.07398575797324479,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_26,13.813793090475553,-14.127744016329878,1.8597674159523294,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_22,16.740887045417104,13.354597157845442,-29.128972326433313,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2
X1_36,14.76396409475677,8.075287676350136,3.81673540423381,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_37,-7.632529388041767,-7.593500542055916,12.138325561061048,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
X1_23,11.92091674753284,-1.1040327071147702,-9.664083167731512,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,2,2,0,3
X1_9,27.72572430704743,40.24581396475117,-22.727235558886946,0,2,2,2,2,0,0,1,4,4,0,0,1,4,4,0,0,0,2,2
X1_35,22.75992122856009,6.776442043122182,0.33462817983245396,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_21,22.745121279414157,-7.828521357083316,-4.196416894235638,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_20,9.17972319258319,-13.179421591924298,-6.344949881807771,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_34,16.65831197424991,-8.466252992487334,3.8279746104288765,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_8,4.197506110487232,14.424336505852244,11.00780187876669,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_127,14.462139644065758,-2.620844449006704,8.664210700213074,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_133,13.028639822250238,-1.0227571630074248,-0.853702744827597,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_53,15.66750592661931,2.854423024170955,-36.331605413443505,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2
X1_47,24.925421771254488,-7.3537696217979756,-16.107017494095277,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
X1_90,18.424902564870344,21.301343047722185,0.23937847502238718,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_84,21.495539076901217,14.195720472619348,-4.777373357641667,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_85,2.897748383788596,-12.643693425511875,8.489571205925381,0,0,0,0,5,0,2,0,2,2,0,0,0,0,0,0,2,2,0,5
