,x,y,z,average2,average3,average4,average5,average6,complete2,complete3,complete4,complete5,complete6,single2,single3,single4,single5,single6,ward2,ward3,ward4,ward5,ward6
Y1_331,-17.956932056094217,-6.296392033247643,3.006195010120267,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_319,-18.82082749494579,-2.735525751336111,3.8412655541377245,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_127,-16.98034062385589,-8.406081221362058,4.798699004934209,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_126,-16.021516563645,-0.8624175963696632,10.477273841557414,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_318,-17.881344055051464,-6.919655685839693,1.5074893051179543,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_330,-17.795431849333855,-6.6056760597816675,3.030803872900493,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_324,-17.315630722956836,-7.790263663106389,4.041634440544304,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_332,-15.310950992668259,0.629168859748891,11.286636521210756,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_326,-18.51175757588287,-5.456959589069879,1.2474816202611652,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_124,-17.648265127236954,-7.249334977072376,3.295369698549515,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_118,-13.531834939749784,1.6572484568977064,12.353305882480047,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_119,-15.404346855187432,0.557495489327004,11.363470477057685,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_125,-16.038317196828032,-1.7719912101124697,9.963809038411972,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_327,-18.335125720349023,-5.001433423838172,4.204302793365922,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_333,-18.326854630021273,-4.491571382799376,4.549458625938809,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_337,-17.65983220355509,-6.677702698361829,5.458599428187328,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_323,-18.474294726100542,-3.717753422226509,5.0635513322367895,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_109,-17.252418236889714,-2.4870286251657916,9.325900963794828,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_121,-18.222262275941965,-4.8688216907708,4.603247074074975,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_120,-17.77692561031189,-6.403003712726971,4.079494723199717,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_108,-19.538242523528428,-4.638586251650623,6.154315642881439,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_322,-18.865306868636054,-4.625895669905934,0.6375318398330234,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_336,-18.852102049409464,-1.3397239556022003,6.280331711824852,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_308,-17.749998797231505,-6.916078458525198,2.9127309594082265,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_320,-18.447825671124214,-1.5898479495438422,6.94741517324431,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_334,-18.81798017271728,-1.9620607982889748,4.62645000841456,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_122,-18.32001765519284,-5.6420833370474215,2.194868178322765,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_123,-17.06909824421306,-4.577508379393516,8.052373775981142,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_335,-18.813526311156657,-3.4808397517558447,3.979799145475699,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_321,-16.59421409457341,-0.3119216199862175,9.724934573670524,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
Y1_309,-19.23866362591886,-1.563356852294278,5.0707046176078805,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
