,x,y,z,average3,average4,average5,average6,average7,average8,average9,average10,complete3,complete4,complete5,complete6,complete7,complete8,complete9,complete10,single3,single4,single5,single6,single7,single8,single9,single10,ward3,ward4,ward5,ward6,ward7,ward8,ward9,ward10
X1_94,0.5502524185955222,-0.2781514900036174,0.8450737877212101,0,0,3,1,0,7,7,7,2,0,2,0,6,6,6,6,2,2,2,0,6,2,0,0,1,0,1,1,0,4,4,4
X1_43,3.0620618847593852,2.020575179817916,-0.5246537946494746,0,1,0,3,1,0,8,3,0,2,0,2,0,3,3,3,2,2,2,0,6,2,0,0,0,3,3,3,1,0,3,3
X1_57,1.6888664877890889,-1.798383975702934,0.2626122532293809,0,0,3,1,0,4,4,4,2,0,2,0,5,5,2,2,2,2,2,0,6,2,0,0,1,0,4,4,4,1,0,6
X1_137,0.5447059419568762,-0.9421365589766996,1.2747508796230573,0,0,3,1,0,7,7,7,2,0,2,0,6,6,6,6,2,2,2,0,6,2,0,0,1,0,1,1,0,4,4,4
X1_123,1.4328611025001894,0.23668918344432704,0.34682576304597895,0,0,3,1,0,4,4,4,2,0,2,0,5,5,2,2,2,2,2,0,6,2,0,0,1,0,4,4,4,1,0,9
Y1_304,-2.0788305374637295,-0.08093475217052881,0.46649018221963073,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_310,-2.0816497192672108,-0.13226378064638616,0.3948190454000387,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_338,-1.9145197251738906,0.05627987108454887,0.8141368145038846,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_106,-2.075658891915758,-0.18681996308730195,0.34734400796064824,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_112,-2.023309430738737,-0.40699924754569355,0.6627472126852981,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_113,-1.670621950153553,-0.09129105198691029,0.929869481475801,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_107,-1.9148513211307798,-0.293433651651391,1.0519240703347725,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_339,-2.027811246982051,0.07286301953368028,0.649417342932196,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_311,-1.8872884659539466,-0.1532219794994729,0.756425422070544,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_305,-2.032011989980794,-0.5878298221487827,0.380422336380231,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_313,-2.0054161845445666,-0.38318706627307203,0.5283374323648888,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_307,-1.752399982929947,-0.250219329886135,1.1448181483006485,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_111,-1.745393696559888,0.061498543757210006,0.9573167066898093,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_105,-2.0656745531457004,-0.14378263682870684,0.5636745436183473,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_104,-2.1229633143533273,-0.6161891191763618,0.4924313859079438,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_110,-2.075929302919833,-0.3606188480036382,0.11727182672819444,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_306,-1.6110140585642403,0.11555338175441475,1.0562594678743364,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_312,-2.0882313993795516,-0.2716322610705502,0.12701493787486728,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
