cell_name,X,Y
101,607.5095427280517,536.294928721664
102,602.8577187356848,545.5692166743014
103,616.6235454004926,564.596279622866
104,681.8661335548863,497.14025340118394
105,605.1268318048596,554.0285997920015
106,606.1948144518199,473.30026284135965
107,660.0984516343859,603.7101947943837
108,630.1509785647717,401.35063445408275
109,721.621019624804,601.8319186895172
110,552.1096127496935,564.8933439100022
111,583.1662360890302,546.2993839427663
112,595.1354291816847,554.7027766653317
113,611.8111111111111,516.7913105413106
114,571.9917721518987,537.0853164556962
115,618.7487071659941,499.7167130760925
116,626.9472969148032,478.41030285876025
117,608.9920249445344,525.9838700005996
118,621.8829480957473,545.9608456033561
119,574.1137761377613,518.7624231242312
120,634.0158710217755,546.5888609715244
121,630.0968505671182,588.207135777998
122,603.6432397685879,460.45546746660955
123,568.9498201936376,541.4066943291839
124,641.2922009765892,517.8191940857025
125,572.4478298611111,523.1891203703703
126,627.8002914202451,546.723150767121
127,586.1525806790708,496.7158099442868
201,602.1564396185958,490.3857840229938
202,611.9851854561416,599.9102348379545
203,643.6712933387537,551.7089842615715
204,629.6460346735522,566.8604205090373
205,629.1657265035028,505.37817305067784
206,666.5196789026577,525.0671031096563
207,601.8320323934042,551.0965460044882
208,638.5580777742649,537.5769206449573
209,599.0364044451744,548.5958285432748
210,589.3929850645401,575.1221869297831
211,602.2276504890032,539.2630515634327
212,664.1332702654763,549.1351623011884
213,623.4206128133706,547.6337835707153
214,576.6774613899613,582.6359073359073
215,601.9853156188417,490.99396096878775
216,600.1068848592068,544.8535308860386
217,636.9131724769842,507.5512893232689
218,602.448275862069,538.9986977810188
219,706.1670397564469,499.01522206303724
220,639.851712164751,529.8885296934866
221,617.5147902271599,532.6805310933478
222,610.6104071718335,542.0768768467972
223,641.1231972374569,584.0284379443428
224,698.7575094043007,635.7559934871708
301,658.797199678944,521.6856773388032
302,583.0818208574512,534.8392033748651
303,608.5997775451452,528.9409186076944
304,671.0723199092456,532.8733408961996
305,620.8894846074022,533.0758388101003
306,573.0327519069717,575.4508454686083
307,582.3014274144564,510.25167037861917
308,606.3934482286965,559.9673095335795
309,643.36024,502.75552
310,641.5242046322219,479.52283023670145
311,646.4346022613233,524.6060747976182
312,607.9384387936133,493.24991129509164
313,610.0885048311585,549.9987050503039
314,607.9243113772454,592.7284431137725
315,584.8988772131855,587.1149417014539
316,613.1734285714285,529.6018571428572
317,558.9473329099858,552.9744403873631
318,609.3630289532293,527.8380528157811
319,582.2835097358003,490.9101155368829
320,506.6276658927704,509.5604988931483
321,513.4488197601183,548.9634700695547
322,591.8129954109304,513.4865456821026
323,607.6562407205781,502.2480946253588
324,633.1733422248155,532.7451339974159
325,608.4667585256632,568.2671718911471
326,629.7309363652598,599.6083100184535
327,613.445456725006,565.8788659793814
328,575.1542763924493,510.0283539190554
329,558.994511112307,575.7547758704193
330,587.9309651787801,569.9553166627717
331,698.0550671484817,552.5415565503479
332,549.3163692643845,505.1724781500364
333,618.7590854802935,538.8224705681624
334,550.8301841664673,415.62620585186954
335,574.1553247699735,558.3706841577845
336,568.604949221695,508.19748104128786
337,626.5131990274401,471.55778916290376
338,562.7417889373196,439.7408066793542
339,629.1441743980876,596.9303318344812
340,611.1109037589977,532.744801386297
341,573.1224187577129,471.92299465240643
342,581.7460485464296,482.31646909398813
343,611.4993552348787,526.088117899908
344,591.2743503515744,511.29287679608683
345,525.1667879493523,541.2369378547519
346,640.1812186320461,500.57468165415406
347,613.4305780377003,532.1822881311681
348,639.9619745575221,585.6053650442478
349,632.1385790547286,532.7167657653747
