,x,y,z,average2,average3,average4,average5,average6,average7,average8,average9,average10,complete2,complete3,complete4,complete5,complete6,complete7,complete8,complete9,complete10,single2,single3,single4,single5,single6,single7,single8,single9,single10,ward2,ward3,ward4,ward5,ward6,ward7,ward8,ward9,ward10
X1_49,31.819176553449847,307.705957070333,20.302234158386142,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,6,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_101,137.12325720601717,-309.3621238579116,34.84371897922323,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,3,3
X1_115,-91.0904823961808,6.22316853561499,169.21676642718688,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_129,52.897497963366355,-42.483513542772855,151.91437110412394,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_103,105.32894572280777,227.62366995268607,116.40692350308461,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_117,43.163699091964176,226.4560069015321,-121.15873738285632,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_77,-145.49229949788446,203.0126107635404,77.49160226713221,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_63,-96.79559646309028,-172.15535564563675,-206.49849101720113,0,0,2,0,2,2,0,3,3,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,5
X1_88,194.9227195798753,-198.24045652202912,3.033487438252452,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,3,3
X1_89,-49.792533281504106,185.57112667984242,-104.16070022760647,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_62,210.94585656748373,-69.7811608676007,2.1634612766501324,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_76,-31.040212631485595,65.2973305744933,47.461249602070765,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_116,62.14616807862432,28.606245254846062,111.29659066342832,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_102,-142.15257224760538,32.62071629754555,226.81140581746624,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_11,-349.3159765767848,95.20856325390585,-71.0380345664954,0,2,0,2,0,0,6,6,6,0,0,0,1,0,6,6,6,2,0,0,1,0,0,6,6,6,6,1,1,0,1,1,1,0,0,5
X1_5,24.696007157671495,124.1846391963107,159.36021986917703,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
