,x,y,z,average2,average3,average4,average5,average6,average7,average8,average9,average10,complete2,complete3,complete4,complete5,complete6,complete7,complete8,complete9,complete10,single2,single3,single4,single5,single6,single7,single8,single9,single10,ward2,ward3,ward4,ward5,ward6,ward7,ward8,ward9,ward10
X1_136,113.36996811879143,1.9449603667732522,-4.9947939854565035,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_56,-23.40104454043752,-173.03510198689565,139.95258903423255,0,0,2,0,2,2,0,1,1,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,4
X1_42,33.870530525677374,-53.793804808516775,119.022620456982,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_95,88.43644044542457,0.32230034426816595,-112.76603079614075,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_81,-201.79456367074903,36.87802201232852,131.66107217695097,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_80,-55.85291207191593,196.89497953816425,-104.0323859314624,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_94,-120.86919223477838,-147.21071292013468,-19.24661456396414,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_43,169.37313033649144,-18.41782318165571,-109.57799371837535,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_57,43.94680642690198,8.612857754153755,-50.449302777547146,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_137,-167.19129421433223,232.18729498676217,94.41799016194949,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,6,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_123,141.82918829179945,89.70929376806032,16.483103388638632,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_304,-133.7391079806782,28.245371629403266,-51.780480046784184,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
Y1_310,-60.08062088672547,104.24250504708299,1.8354564457327702,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_338,-35.44220470799202,82.73724318603018,5.144677108524853,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_106,-34.53827297125568,-101.31335251685412,-116.95744644260569,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
Y1_112,49.4238768343366,14.163719114204124,3.7398986067860154,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_113,-128.28586139047303,-86.21537015181832,-71.00551913676995,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
Y1_107,155.4174212922977,-186.881512942371,-14.387566189967567,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,4
Y1_339,-75.30760282348889,19.365346177254292,-0.17547145927436694,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_311,36.920258104514154,79.90547460657304,-81.66660541678839,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_305,-2.8615777968095695,-92.41845160881334,-58.18919658078348,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
Y1_313,-48.16172577335338,-147.3330842492363,-16.85350930028934,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
Y1_307,118.95513567710732,6.979542977029136,-25.84492840926304,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_111,-100.99146500628244,111.57353506464291,86.3866243499271,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
Y1_105,-11.497096291581252,-153.0815402595794,-94.8965363993955,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
Y1_104,32.15846071987433,73.46268684233534,10.389688018978937,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_110,-23.564936769399427,-27.70876053263674,24.17735073711166,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_306,64.48148823473053,175.13557158096805,-48.768205759936116,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_312,-75.68836346278378,134.20317491273727,-84.2890408796942,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
Y1_316,36.975517053517436,-39.209175976116754,79.13010775879464,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_302,-48.879986959371735,157.06116654947252,45.05451130065211,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
Y1_114,82.58363876183743,131.8070191305564,24.402375897931584,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_101,90.51929718661705,-277.274902993226,-63.64440236289741,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,4
Y1_115,21.19060364696017,194.99763941097163,87.00902052845481,0,2,0,1,1,1,1,0,2,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
Y1_303,-85.78910177900431,-94.1538443615788,59.45978320690771,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
Y1_317,13.652488446483579,-147.70527739030302,-50.071267395988144,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
Y1_329,-10.75304548288326,-114.56991932108485,-77.39911004893764,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
Y1_301,104.87961475629352,-141.8840278389597,-175.97979284895436,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,5
Y1_315,-24.66994875852518,113.02892422387482,40.21219850651794,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_103,104.00237196622396,-96.30115507110712,75.83305288940757,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
Y1_117,50.157678025947604,-3.3939481306827894,61.60185433796936,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_116,-2.7073395923884114,78.744713051291,43.73695318372653,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_102,-112.11979500516632,269.45642941003706,163.93770293240286,0,2,0,2,0,6,2,2,0,0,0,0,1,0,2,2,0,6,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,7,7,7
Y1_314,6.313390596590324,92.84551361550427,-59.034594486603204,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_328,-91.67261536580804,42.819726572433375,-71.19099540749514,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_213,29.45047592947006,48.620846950415135,-41.04448146688974,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_207,101.26020855451789,73.63566483383858,-131.64318171118663,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_206,-59.6055557146119,57.112610591831434,-21.19415781435213,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_212,-27.932257961603597,-102.55845279680263,-46.71409926383972,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
Y1_204,-19.63518150441603,-14.961475603085963,-24.201985757529325,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_210,61.07356818539088,-160.12066274804346,-61.669851681310625,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
Y1_211,-164.2581211375754,-38.9948556710178,-59.22024887621757,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
Y1_205,84.21424105867844,43.571126294926415,-99.99552074060507,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_349,-65.6750404845923,-95.38151805351814,-57.65696319071758,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
Y1_201,-118.83201932341908,-37.67975001375604,-93.94351502993634,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
Y1_215,-139.60042845436334,107.80415131056652,-17.221360588460797,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
Y1_214,59.214353275647575,-12.984904656484545,-95.69886889482534,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_348,41.75582178585093,127.01796679171346,-50.03468225862571,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_216,-63.455364007908926,111.12760020440867,135.59535104911964,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
Y1_202,21.05008605034,-87.90632395198041,-120.53715100287228,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
Y1_203,-27.80758882372201,184.84930955868094,13.506759029152517,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
Y1_217,-16.003110606852502,253.29185427706642,32.22939791593018,0,2,0,1,1,1,1,0,2,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
Y1_346,44.88414817722777,-23.326123426086067,-85.37236223866337,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_347,-64.45952364198487,135.63660360819165,51.80800478337652,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
Y1_345,-45.83949321648701,261.5171700933222,231.11484773705095,0,2,0,2,0,6,2,2,0,0,0,0,1,0,2,2,0,6,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,7,7,7
Y1_219,-44.28202278594261,89.28341295298667,-119.54449965142578,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_218,-24.881729452470303,229.18420851503765,32.834650990691884,0,2,0,1,1,1,1,0,2,0,0,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
Y1_224,190.77556048123338,-177.2759631366324,-199.36364744735874,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,3,3
Y1_344,-47.28823522852829,130.01208203171726,105.19173413886682,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
Y1_340,-8.284629546359794,90.95401909554478,150.74528715696627,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
Y1_208,-37.81861965582084,-25.549394197794797,79.56341117053908,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_220,82.4548024335418,-192.473228807636,-104.92378760182635,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,4
Y1_221,-14.34306905291292,-91.95030539939935,-15.990152621833536,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
Y1_209,-46.800828627265005,-125.55699179120465,29.95667229942161,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
Y1_341,-89.38646844022236,131.62470811311871,7.73871134678473,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
Y1_343,83.06439384170707,-208.65081082460782,-38.38853681508874,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,4
Y1_223,-150.92097097179905,97.41960637714172,-67.5866267595057,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
Y1_222,-80.16878730069725,-12.411441411463704,-14.73756470639927,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_342,-31.44857209034915,-9.086518874963868,3.5222413443390277,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_325,-26.362998775291164,63.27467420662878,-46.50727119769946,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_331,-94.77860748341391,44.88506239014386,-13.279836079011092,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_319,35.44802731697874,14.079071090182666,-107.75640750800491,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_127,143.3505158319904,-240.59161315314773,-29.831666793347658,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,4
Y1_126,116.11540144838938,23.199717332601086,-175.17159975769303,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_318,-22.34076371744052,6.02400798697487,1.3310633091193806,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_330,19.278236700497022,-56.759678672748656,-14.087084483523656,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_324,-54.41649393447144,56.19745986770034,-103.24593334846709,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_332,-168.4536774118156,-19.73864423602044,-73.64319420298045,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
Y1_326,-9.829535086090559,49.965899113256164,116.70441394653636,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
Y1_124,-2.365633047360179,58.57813923007856,-35.322096745872926,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_118,-273.1531228052571,49.80547191592477,-23.19355941743097,0,2,0,2,0,0,6,6,6,0,0,0,1,0,6,6,6,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
Y1_119,-183.02894589865454,-7.568295895898201,-117.25610560879467,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
Y1_125,125.2410564473357,-276.3123944679244,-150.26073143597563,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,3,3
Y1_327,-39.24373673551866,-94.49692483467831,-28.42031997015948,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
Y1_333,6.493025793904622,-45.75710371845455,-96.49139169736159,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_337,50.40620378548101,76.4019737095193,-80.26980856999805,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_323,-82.39874186184265,93.7306664800155,-40.96153150838899,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
Y1_109,-139.6465369355164,-52.981215279580674,-142.3409006356933,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
Y1_121,-31.410089254888252,26.668054128824323,-69.86117491638785,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_120,-13.104247533905065,75.28398892400453,-47.41039294634763,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_108,138.77208358685843,107.08326927162454,-22.939264728899833,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_322,6.862830247568668,29.642593965817028,121.53447089297973,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
Y1_336,-116.04370373435562,-65.34858827443657,-49.88828485321009,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
Y1_308,13.486195914331155,-24.079746968053215,-59.29891329646509,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_320,-62.176739035982806,-129.95874216319376,-117.62091075873388,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
Y1_334,8.816922902310193,135.29865683198372,-91.75446035321438,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_122,5.035457369297536,2.2768800505785904,-59.09942869587386,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_123,-43.665062629460486,-230.80100981159515,-31.527456415674905,0,0,2,0,2,2,0,1,1,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,4
Y1_335,-5.242266846637295,-55.748737232191324,-68.83717092417245,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
Y1_321,42.58671631512368,313.5417181395534,175.572016998344,0,2,0,2,0,6,2,2,0,0,0,0,4,4,4,4,4,9,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,7,7,7
Y1_309,-100.06397112643799,271.69125891504825,35.258148132120624,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,6,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
