filename,X_m,Y_m
349,299.030536,312.0519574
348,306.85125790000006,261.5716254
347,277.80698899999993,314.01245199999994
346,303.7209017,346.2738885
345,190.0514028,305.1887214000001
344,259.16782880000005,334.9596302
343,277.5242673,322.3007732
342,249.73413529999993,363.1246992
341,240.78252799999996,374.86440530000004
340,278.8662461,315.0687848
339,296.8720971,250.4462567000001
338,231.3628476,406.1432542
337,292.2479255999999,374.6737323
336,229.31225419999998,340.4553955
335,240.63152749999995,287.4357259000001
334,216.58678469999995,432.0196118
333,286.38881289999995,307.925975
332,216.03507750000006,341.4360328
331,366.2194256,293.5974526
330,254.95570410000005,277.5815999
329,226.53911649999998,272.848302
328,243.11525759999995,339.3303883
327,278.42787240000007,283.01947270000005
326,296.494318,243.86122870000008
325,276.58062760000007,277.32016350000004
324,302.1822882,315.09232599999996
323,273.7781539,344.68557310000006
322,259.2593478,333.93177059999994
321,177.91151889999998,296.7979872000001
320,174.2056066,335.95678829999997
319,249.5826892,356.8869155
318,276.8056791,317.59059890000003
317,226.28266669999994,293.9225206
316,279.2799639,317.86382030000004
315,252.0149341,259.7930002000001
314,273.53502090000006,254.39282150000008
313,274.86379480000005,296.7035983999999
312,276.01199999999994,352.17499999999995
311,312.6270142000001,323.5264651
310,307.83122679999997,363.95494959999996
309,308.43230229999995,348.359056
308,273.2168898,288.39831030000005
307,249.35161930000004,337.6773820000001
306,241.24146199999996,271.8249548
305,287.2798253000001,313.5286665
304,338.67337339999995,314.0108086
303,274.3054005,319.4888833
302,249.57034709999994,311.93940380000004
301,325.43623049999997,326.7531325
224,365.15615620000005,210.45380619999997
223,306.7600453,263.66019230000006
222,274.71546910000006,302.9337206
221,281.8293876,313.7973463999999
220,307.8116692,317.3095211
219,372.3992051,349.9174777999999
218,268.9310760999999,308.04827950000004
217,301.6994499,337.249873
216,265.7879044,301.32002480000006
215,268.38987180000004,355.807627
214,243.6536479,264.0549375000001
213,290.5701801,297.82707260000006
212,327.8415628,298.42494439999996
211,268.5596497,309.47333720000006
210,255.64030320000006,272.2660042
209,265.6245347,299.3263205999999
208,305.00083689999997,309.26330229999996
207,269.05195950000007,295.3243698
206,333.71900759999994,322.71744450000006
205,296.103528,340.21814070000005
204,295.5015614,279.95305499999995
203,311.25341430000003,296.18490399999996
202,278.9236099,248.11157680000002
201,272.3713173,356.1494391
127,252.92514219999998,351.5799565
126,294.7970424,303.55674839999995
125,237.04574739999998,321.36593719999996
124,308.2223782,327.36267769999995
123,235.88677929999994,306.5101119000001
122,272.10500490000004,385.77458509999997
121,297.29994,258.81581729999994
120,300.2049658000001,301.1099891
119,239.30158430000006,328.8422006999999
118,289.2964307,301.0114773
117,275.66927699999997,321.2985168
116,292.4267857,366.9785749
115,284.97985859999994,346.63762629999997
114,237.91628229999992,309.87474040000006
113,279.3182722,330.297291
112,261.84331739999993,292.26391480000007
111,253.37627599999996,295.65620920000003
110,220.66470800000002,283.02858319999996
109,386.3879223,245.3034477
108,297.21301700000004,444.7223478000001
107,326.2178928999999,243.18039079999994
106,271.039841,374.3591397
105,275.1889745,290.6301043000001
104,348.62885299999994,355.75995869999997
103,268.23028999999997,280.6764909
102,270.7140208999999,302.36276139999995
101,274.8277163,310.8087133
