,x,y,z,average3,average4,average5,complete3,complete4,complete5,single3,single4,single5,ward3,ward4,ward5
109,105.58993895698318,-105.81521204780745,128.27449293804298,2,2,2,2,0,2,0,0,0,0,1,0
121,-20.32733716083337,32.78610480387205,27.820476627995927,0,1,0,0,1,1,0,0,0,1,0,3
120,-67.0244849767729,76.48075230986076,38.573387481233134,0,1,0,0,1,1,0,0,0,1,0,3
108,-45.566782321009185,-136.2409924039799,34.04395138309625,0,3,1,0,1,1,0,3,3,1,0,4
322,-100.7016965597734,2.9766184556318156,-145.87775443034312,0,1,0,0,2,0,0,0,0,2,2,2
336,106.78628187545871,-45.06327337927579,-27.287763612377585,0,3,1,2,0,4,0,0,0,0,1,0
308,-112.86505119160884,74.30040100455592,-5.761524005661081,0,1,0,0,2,0,0,0,0,2,2,2
320,116.85565010611768,-40.43380999195086,7.872654478417999,0,3,1,2,0,4,0,0,0,0,1,0
334,68.78547987622433,70.88355229690315,-48.73050513784936,0,3,1,0,1,1,0,0,0,1,0,4
122,-90.91444852240873,61.94297339460046,-64.09225180065039,0,1,0,0,2,0,0,0,0,2,2,2
123,115.69842074601254,-71.77064424911973,4.936213578068746,0,3,1,2,0,4,0,0,0,0,1,0
335,4.666673169777339,9.409751897732058,-45.98519024060822,0,3,1,0,1,1,0,0,0,1,0,4
321,232.44263425733567,-56.30810474157902,50.5099411117432,2,2,2,2,0,2,0,0,0,0,1,0
309,46.43560917782506,-82.63985250263202,-41.96659573914663,0,3,1,0,1,1,0,0,0,1,0,4
