,diff
304,0.09470620846583314
310,0.022604668915548024
338,0.0
106,0.024711061845138875
112,0.0018877669870121115
113,0.0013648530807301995
107,0.0600046194549635
339,0.01175976999333546
311,0.007056388657374489
305,0.0
313,0.015169218911751159
307,0.1013582013495836
111,0.46163747597938937
105,0.0013545784172397275
104,0.0006137517409667682
110,0.016464383087152316
306,0.021892537095475426
312,0.01804182735775932
316,0.026117697445803372
302,0.0005245776767992538
114,0.21572531484665092
101,84.76094451712135
115,0.004022571909898149
303,0.0006701437752831685
317,0.009525213591116223
329,0.03785169868567689
301,0.01306787194325301
315,0.0027203538063064773
103,0.04866058520186063
117,0.010835417446579648
116,0.008472560462764362
102,0.0016453185407638094
314,0.06128964266187609
328,0.011284704550405422
213,0.05162459709852754
207,0.07220083162659457
206,0.00401881745068923
212,0.01384594739814018
204,0.027878409511465353
210,0.80115483206456
211,0.01842827444586242
205,0.00020368216149790896
349,0.04956340834875099
201,0.00021024047693382592
215,0.0
214,0.003051314858458378
348,0.03205018257422606
216,0.001284098987435663
202,0.011871189462198117
203,0.11209133744731403
217,0.18275910001712958
346,0.011452015700863804
347,0.07198971626742882
345,0.059363306454243245
219,0.003919259229633099
218,0.04248692612043194
224,0.0
344,0.018281460660640108
340,0.007599851003860579
208,164.17394654558916
220,0.0
221,11.19509530392677
209,0.009809421547176055
341,0.06413991837187309
343,71.06192169477774
223,0.0
222,0.0
342,0.13804971256917203
325,0.018351161649222025
331,0.019973660967603456
319,0.0
127,216.01470761540196
126,0.0
318,0.02954369488576654
330,92.61812694371045
324,0.001040932925548077
332,0.00830254975770713
326,0.17698980028273514
124,0.0374680299856891
118,0.020780726200212
119,0.0047647352819808475
125,0.0
327,0.04657101213482221
333,0.04453450366468574
337,0.00031981449924955996
323,0.9888550448301759
109,0.02992766627377551
121,0.07988718733154863
120,0.04463502110513022
108,0.012818336436316554
322,0.39595359892822213
336,0.0042901619310662656
308,0.02241562363067436
320,0.009335714832798476
334,0.005090227557625391
122,0.0
123,165.42742387540534
335,0.020249728590302548
321,0.03462146215719031
309,0.03519802516355184
