#FocalAdhesion's CSV 
#number,center_x,center_y,length_x,length_y,area,aspect_ratio,orientation,main_axis_start_x,main_axis_start_y,main_axis_end_x,main_axis_end_y,side_axis_start_x,side_axis_start_y,side_axis_end_x,side_axis_end_y,keep
0,89.0,889.0,22.47220505424423,21.003724327927415,229,1.0699152542372814,5.919206350669942,79.0,893.0,100.0,885.0,98.0,897.0,90.52277227722772,877.3722772277226,1
1,523.0,828.0,19.026297590440446,14.821590940619355,192,1.283687943262411,4.764972041995631,523.0,838.0,524.0,819.0,516.0,830.0,530.8011049723755,830.7790055248661,1
