#FocalAdhesion's CSV 
#number,center_x,center_y,length_x,length_y,area,aspect_ratio,orientation,main_axis_start_x,main_axis_start_y,main_axis_end_x,main_axis_end_y,side_axis_start_x,side_axis_start_y,side_axis_end_x,side_axis_end_y,keep
0,349.0,589.0,45.69463863518345,49.37121875525571,574,0.9255319148936165,1.1659045405098132,340.0,568.0,358.0,610.0,323.0,591.0,368.3793103448277,571.5517241379312,1
1,866.0,685.0,13.92838827718412,10.625780747542557,107,1.3108108108108067,5.916011473361367,860.0,688.0,873.0,683.0,867.0,691.0,863.1855670103091,681.0824742268042,1
2,356.0,541.0,12.529964086141668,13.088624905268967,86,0.9573170731707343,1.0714496051147666,353.0,536.0,359.0,547.0,351.0,546.0,362.4904458598726,539.7324840764331,1
3,818.0,902.0,13.45362404707371,11.149412193707443,81,1.2066666666666723,0.7328151017865066,813.0,898.0,823.0,907.0,818.0,895.0,810.5414364640885,903.2872928176796,1
4,551.0,607.0,14.142135623730951,11.313708498984568,71,1.2500000000000213,0.1418970546041639,544.0,606.0,558.0,608.0,553.0,613.0,554.5999999999999,601.8000000000002,1
5,363.0,577.0,12.649110640673518,12.016655108639878,70,1.0526315789473653,1.2490457723982544,361.0,571.0,365.0,583.0,357.0,578.0,368.4,574.1999999999998,1
6,543.0,743.0,11.180339887498949,11.627553482998948,55,0.9615384615384581,1.3909428270024184,542.0,738.0,544.0,749.0,537.0,743.0,548.44,740.9200000000001,1
7,318.0,593.0,10.816653826391969,7.211102550927978,52,1.5000000000000002,0.982793723247329,315.0,589.0,321.0,598.0,314.0,594.0,320.0,590.0,1
8,377.0,593.0,13.0,10.307692307692273,44,1.2611940298507505,5.107180100084451,375.0,599.0,380.0,587.0,381.0,598.0,371.48520710059177,594.0355029585799,1
9,376.0,572.0,11.661903789690601,10.632912278835548,40,1.0967741935483872,5.252808480655274,373.0,577.0,379.0,567.0,371.0,570.0,380.11764705882365,575.4705882352939,1
10,365.0,615.0,8.246211251235321,6.790997501017324,36,1.2142857142857142,4.957367643511554,364.0,619.0,366.0,611.0,362.0,613.0,368.5882352941177,614.6470588235293,1
11,348.0,565.0,7.280109889280518,9.065797220613476,31,0.803030303030303,4.990688639389801,347.0,569.0,349.0,562.0,352.0,568.0,343.2830188679245,565.5094339622642,1
