,x,y,z,average3,average4,average5,complete3,complete4,complete5,single3,single4,single5,ward3,ward4,ward5
29,26.843932107791677,-152.4640722766729,-81.75469958052344,0,2,0,0,0,0,0,0,0,1,0,1
30,-310.2972647871925,22.97593415237534,50.75649137009886,0,1,4,0,0,4,0,0,0,2,2,2
24,206.08530063149198,-182.22119208173484,-117.74130558883581,2,0,1,0,1,1,0,0,4,0,1,0
18,115.76068661691416,60.838213892621084,-15.015292301346344,0,2,0,0,0,0,0,0,0,1,0,1
19,-46.601170728285624,-107.33034496159087,8.751635422190782,0,2,0,0,0,0,0,0,0,1,0,4
25,-68.49321822523918,-84.75854843315334,-35.50219856754995,0,2,0,0,0,0,0,0,0,1,0,4
31,256.02057483795204,144.84121631479172,162.9758092855815,2,0,2,2,2,2,0,0,0,0,1,0
27,-269.072164262692,-39.41235422989584,76.19758864841184,0,1,4,0,0,4,0,0,0,2,2,2
33,64.16014854543877,-176.53882047248104,4.243435546976578,0,2,0,0,1,1,0,0,0,1,0,1
32,76.69841264555454,176.54658412640788,-2.774818325120603,0,2,0,0,0,0,0,0,0,1,0,1
26,-72.60012741299064,-117.42262825993306,-115.85986763714476,0,2,0,0,0,0,0,0,0,1,0,1
22,212.34765736183272,-35.50206940062981,166.46892747551527,2,0,1,2,2,2,0,0,0,0,1,0
36,-39.341145388848396,61.33618706703728,24.11854812607025,0,2,0,0,0,0,0,0,0,1,0,4
37,-274.2290936192049,-31.488287553144545,47.7440894193964,0,1,4,0,0,4,0,0,0,2,2,2
23,-13.623445687703823,-67.79174610700278,70.66861861281359,0,2,0,0,0,0,0,0,0,1,0,4
9,374.76084311945516,263.93412260358576,-0.15590823033905443,2,0,2,2,2,2,0,1,1,0,1,0
35,51.9026911526828,70.84465772970866,-78.04030977052075,0,2,0,0,0,0,0,0,0,1,0,4
21,48.94096317290769,-71.3841483559697,-124.27843404946212,0,2,0,0,0,0,0,0,0,1,0,1
20,-42.67709085134972,-158.30275540203965,-50.18508210674136,0,2,0,0,0,0,0,0,0,1,0,1
