,diff
106,57.113115194243946
112,1.034838452096159
72,0.0
66,0.12704529605457132
99,0.008483243113338484
98,0.0
67,0.011996239931209135
73,0.008268241760212769
113,0.0
107,0.12386498362254152
111,0.035315880497133634
105,0.05955176844695842
139,0.5546064390440549
65,0.04984675981700556
71,0.9627533735685081
59,0.006840792930528709
58,0.006190887989257468
70,0.0017544066401436436
64,0.008050431239344999
138,0.012917661193284857
104,0.7719227052198577
110,80.15226236657467
128,0.13148000757706166
114,0.0
100,0.0
48,0.0032500322968425778
60,0.0
74,0.03552199130523557
75,0.17505985240029356
61,0.20941947846032868
49,0.0
101,0.06369359579890431
115,0.0
129,0.08929330057647022
103,0.05489514339721541
117,0.14598994429994805
77,0.10683121551489227
63,0.6187015020193306
88,0.13880368760414358
89,0.05346678546214863
62,0.0
76,0.023772115628177062
116,0.0509272638748115
102,0.2505652247549419
11,0.0
5,0.06710032129964769
39,0.015824303314575197
38,0.020075752652185048
4,0.0
10,0.1436359798626754
6,0.009615568113064667
12,0.7636553767533497
13,0.17026606840666536
7,0.003083461260610562
3,0.14516267128957944
17,0.00024461936969700625
16,0.02152840568193497
2,0.12491003294399002
28,0.0
14,0.05893382368847049
0,0.9348638022225262
1,0.0022258798420092584
15,0.48028335398665983
29,0.009108337171116587
30,0.033405337113268756
24,0.9076001885051375
18,0.010741824130306554
19,0.29771400788026264
25,0.0
31,0.0
27,0.01955489577743409
33,0.0
32,0.026274023773648195
26,0.0
22,0.017020670640985263
36,0.01692019191701484
37,0.0023001187597899366
23,0.062413913474927085
9,0.022932241233291923
35,0.1435257682391512
21,0.018805115794128635
20,0.2920143789718463
34,1.8841362284372771
8,0.0
127,0.02465185718493501
133,0.003130977275716873
53,0.0
47,0.00322514820378683
90,0.8684973117124358
84,0.05111546595192418
85,0.020217821320670737
91,0.0005502329075284251
46,0.0
52,0.07799194428268927
132,0.002919062416450771
126,0.8963729886214651
130,0.513932786122841
124,0.0031361286609694616
118,0.046446555256739616
44,0.0904385089879085
50,0.001704465832887081
78,0.002883893205904542
87,0.9969034978343242
93,0.9974275791224874
92,0.033564862774237335
86,0.007798321924776579
79,0.0062635712478993355
51,0.002695139439930144
45,0.028656771285939475
119,0.24469228543076732
125,0.33156982350836894
131,0.07415213187825097
109,0.15126149258567567
135,0.0004435888605485161
121,0.018674562995719606
69,0.951700476726387
41,0.07996691483498637
55,0.1185855391236925
82,0.06685164346563653
96,0.24265246325600032
97,0.2234869448704846
83,4.338285194557083
54,0.0019419526977395472
40,0.0
68,0.0012078876069342912
120,0.0
134,1.3918310207260496
108,0.0
122,0.0016023657410996007
136,0.017525718520923134
56,0.0
42,89.00904677798957
95,0.06050545246973809
81,0.016194252560694622
80,0.45278921202026473
94,0.9989371223512937
43,1.2229353480209466
57,0.052944321625263135
137,0.043649977050325466
123,0.988214607150709
