filename,X_m,Y_m
0,352.964,299.216
1,516.573,290.015
2,268.221,188.681
3,329.946,400.923
4,389.834,524.41
5,310.009,410.993
6,560.213,499.557
7,247.388,487.084
8,741.482,288
9,464.215,419.907
10,444.455,477.135
11,311.976,212.802
12,202.113,513.368
13,379.747,230.381
14,150.434,212.404
15,272.432,261.141
16,444.514,440.998
17,178.072,498.454
18,930.597,307.308
19,499.71,356.596
20,484.279,628.655
21,380.136,369.305
22,485.364,327.473
23,585.63,454.339
24,442.101,411
25,425.518,317.545
26,613.684,443.318
27,825.615,787.655
28,516.382,303.442
29,481.083,418.523
30,479.028,300.366
31,365.328,224.336
32,662.753,283.036
33,299.862,619.604
34,468.454,209.841
35,214.786,265.493
36,350.578,530.497
37,543.223,186.319
38,302.156,689.232
39,256.994,280.811
40,503.942,408.03
41,661.931,534.052
42,681.041,417.531
43,224.145,296.837
44,481.021,478.662
45,439.023,370.15
46,529.785,327.561
47,436.587,285.349
48,403.963,307.807
49,370.87,244.614
50,431.858,523.878
51,840.04,401.559
52,181.095,258.345
53,289.091,345.759
54,422.027,378.006
55,273.343,153.466
56,351.446,435.806
57,386.679,481.199
58,588.066,675.001
59,608.744,302.877
60,280.286,298.176
61,632.327,293.613
62,445.249,250.779
63,319.806,585.039
64,298.775,319.114
65,547.44,295.56
66,562.621,422.585
67,323.721,536.071
68,375.621,545.812
69,446.077,437.367
70,546.658,231.409
71,831.234,366.161
72,458.628,444.337
73,381.55,464.839
74,285.066,237.147
75,393.018,352.458
76,515.367,502.255
77,404.165,350.939
78,240.681,259.548
79,644.489,294.878
80,390.206,338.002
81,239.788,257.239
82,1014.439,155.93
83,337.651,222.211
84,612.258,283.138
85,157.85,356.305
86,520.671,416.816
87,390.93,238.664
88,448.013,398.162
89,297.045,238.695
90,357.498,335.096
91,284.147,317.336
92,332.123,392.781
93,456.371,264.811
94,398.896,309.644
95,522.824,317.933
96,584.129,228.989
97,469.898,687.728
98,252.118,754.723
99,330.322,339.042
100,195.51,206.717
101,399.021,335.138
102,249.477,315.374
103,385.278,459.795
104,288.605,428.053
105,399.305,291.058
106,390.183,766.989
107,411.505,356.877
108,434.748,448.6
109,261.673,581.841
110,245.924,354.113
111,309.018,200.536
112,540.161,793.452
113,336.467,581.044
114,359.928,215.437
115,696.047,339.225
116,233.404,357.715
117,487.474,345.277
118,609.212,399.09
119,320.928,338.14
120,366.334,323.442
121,289.972,344.544
122,330.541,662.645
123,171.113,212.167
124,354.062,545.069
125,315.324,257.98
126,402.093,220.586
127,302.216,347.915
128,827.121,328.501
129,317.67,302.061
130,483.185,351.663
131,307.053,585.088
132,472.749,328.742
133,368.834,273.594
134,219.43,344.595
135,341.602,428.362
136,291.4,342.222
137,566.858,560.393
138,327.733,335.175
