,x,y,z,average3,average4,average5,complete3,complete4,complete5,single3,single4,single5,ward3,ward4,ward5
79,-100.77120712418123,-38.04720752289498,2.6053782541983184,0,3,1,0,0,1,0,1,1,0,2,2
51,-221.55787431260768,-81.2548330154784,332.8559859935943,2,2,2,1,1,0,0,0,4,1,1,0
45,172.93818238950203,-0.5105585225691645,-60.714770446509256,0,0,3,0,0,4,0,1,1,2,0,3
119,105.730707747918,-88.9779866122247,-147.99755233237164,0,0,3,0,0,1,0,1,1,2,0,3
125,129.72642828852528,-38.03563018085103,-116.31710507711625,0,0,3,0,0,1,0,1,1,2,0,3
131,-68.54728584841303,-107.61311966230186,47.4437545506061,0,3,1,0,0,1,0,1,1,0,2,2
109,-173.6472039390944,15.977197011035715,166.64349072583482,0,3,1,0,3,3,0,1,1,0,3,1
135,21.513655963348235,50.315575919322704,-6.968464856051445,0,0,3,0,0,1,0,1,1,0,2,2
121,-51.316934572482914,-110.76862290316139,136.78094485740348,0,3,1,0,0,1,0,1,1,0,2,2
69,-58.81427459641694,45.455340095844534,-133.17315530221882,0,0,3,0,0,1,0,1,1,0,2,2
41,-89.92129887919542,102.35531819352246,13.807302631720313,0,3,1,0,0,1,0,1,1,0,2,2
55,299.21169520302675,4.245428235374544,-22.395185133351784,0,0,4,0,0,4,0,1,1,2,0,4
82,-396.91799000100207,369.51005112460183,415.5885376287529,1,1,0,2,2,2,1,3,3,1,1,0
96,-58.92114632099894,-43.40494910582637,-105.45316531121908,0,0,3,0,0,1,0,1,1,0,2,2
97,-437.48636818714516,78.59998934352313,219.0999553318929,2,2,2,1,1,0,0,0,0,1,1,0
83,156.3361651160643,-85.53324665589258,-99.27880904916532,0,0,3,0,0,4,0,1,1,2,0,3
54,-2.4189333504096817,-26.221052006385037,43.3553264378773,0,0,3,0,0,1,0,1,1,0,2,2
40,12.193581274145204,61.44900345390827,-121.19969079949432,0,0,3,0,0,1,0,1,1,0,2,2
68,-26.58168775765049,-8.463782279139904,-205.9915936933193,0,0,3,0,0,1,0,1,1,0,2,2
120,78.56271172323576,4.675339546525449,-97.91632649393982,0,0,3,0,0,1,0,1,1,2,0,3
134,60.63161630267074,72.83148484108226,-126.81459629308281,0,0,3,0,0,1,0,1,1,2,0,3
108,47.79263409789643,39.4612513273886,-109.21334154692731,0,0,3,0,0,1,0,1,1,2,0,3
122,-233.46969618150473,-89.1977305745302,76.5805220272628,0,3,1,0,3,3,0,1,1,0,3,1
136,21.716789119198662,-72.42634988886759,-174.7111446613677,0,0,3,0,0,1,0,1,1,0,2,2
56,-22.514037415779384,-15.599307266491707,-199.0657151290859,0,0,3,0,0,1,0,1,1,0,2,2
42,-187.25335387830071,-119.0330037364209,64.88453744081941,0,3,1,0,3,3,0,1,1,0,3,1
95,-162.6591787767299,130.47348979443916,4.160384476926094,0,3,1,0,3,3,0,1,1,0,3,1
81,289.8516669759556,-66.29657183945912,26.571073742102605,0,0,4,0,0,4,0,1,1,2,0,4
80,-61.80666857345516,-91.9210459624106,-107.19328316663652,0,0,3,0,0,1,0,1,1,0,2,2
94,38.39954928933886,-139.45009672841937,-62.099093142199514,0,0,3,0,0,1,0,1,1,0,2,2
43,214.02087428964896,-12.874120111050113,-24.216807054570975,0,0,3,0,0,4,0,1,1,2,0,3
57,-77.4608379439963,126.29205746702617,121.8501960549017,0,3,1,0,3,3,0,1,1,0,3,1
137,-249.4028050572575,422.64757436525935,-13.674598421655388,2,2,2,1,1,0,0,0,0,1,1,0
123,301.1851125173837,40.29436085868466,-38.05358425977782,0,0,4,0,0,4,0,1,1,2,0,4
