,x,y,z,average3,average4,average5,complete3,complete4,complete5,single3,single4,single5,ward3,ward4,ward5
106,-266.31591808029384,180.8472756486797,156.48313535593462,0,3,1,2,2,0,0,1,1,0,3,1
112,-230.41543174873553,167.5106981347168,-22.108178934384377,0,3,1,2,2,0,0,1,1,0,3,1
72,-224.71502280404394,-24.426992113843053,-149.4028686046875,0,3,1,2,2,0,0,1,1,0,3,1
66,-78.17937815021753,168.8594138366189,32.26625269901005,0,3,1,2,2,0,0,1,1,0,2,2
99,8.707811712780256,-92.83061189939654,-124.60330561168203,0,0,3,1,0,2,0,1,1,0,2,2
98,-6.004281347242255,-132.52008321517752,-46.90107976868683,0,0,3,1,0,2,0,1,1,0,2,2
67,16.60751535073664,28.128508569628167,21.483766379513067,0,0,3,1,0,2,0,1,1,0,2,2
73,-111.00670579784993,41.92718591159754,216.41967128272066,0,3,1,2,2,0,0,1,1,0,3,1
113,-199.93994740488708,103.17450053259947,60.458587516965984,0,3,1,2,2,0,0,1,1,0,3,1
107,14.49926324522764,83.10611611540722,-45.68002304480495,0,0,3,1,0,2,0,1,1,0,2,2
111,256.88416448627237,-45.29117424798668,-75.73250436028995,0,0,4,1,0,4,0,1,1,2,0,4
105,-1.4744168233924544,-33.48925440752713,-123.87679477755647,0,0,3,1,0,2,0,1,1,0,2,2
65,-189.9565898428984,-55.37320038223216,-67.11440383400311,0,3,1,2,2,0,0,1,1,0,2,2
71,-83.05673326950269,109.07823212070004,-165.23552110873507,0,3,1,2,2,0,0,1,1,0,3,1
59,-179.84858412311357,-77.65277702846996,-72.76587848369743,0,3,1,2,2,0,0,1,1,0,2,2
58,-196.6955005295403,-158.79034500656857,200.10886152502192,0,3,1,2,2,0,0,1,1,0,3,1
70,190.82491263584052,-57.86518808208245,45.97317177919612,0,0,3,1,0,4,0,1,1,2,0,3
64,-106.06047246387169,-43.87020585034715,293.7275466347127,0,3,1,2,2,0,0,1,1,0,3,1
138,186.9498193779268,-10.159860826916436,-120.06659593548515,0,0,3,1,0,4,0,1,1,2,0,3
104,21.262051909647006,-60.702796404255515,-138.6460087180757,0,0,3,1,0,2,0,1,1,0,2,2
110,92.38973573435854,-101.41969038707819,28.703889738732027,0,0,3,1,0,2,0,1,1,2,0,3
128,-205.2196422949762,26.27679123970829,18.07172849591536,0,3,1,2,2,0,0,1,1,0,3,1
114,231.37964830048404,-55.22341201333169,-27.075252503147663,0,0,3,1,0,4,0,1,1,2,0,3
100,299.5158565308141,52.08612119271294,-39.760408419364865,0,0,4,1,0,4,0,1,1,2,0,4
48,110.08971231713232,-122.50834754369326,-35.48932850235186,0,0,3,1,0,2,0,1,1,2,0,3
60,-106.8219556474704,-43.688936899960176,293.3554988934489,0,3,1,2,2,0,0,1,1,0,3,1
74,284.2483044672902,44.31028340343353,-94.74658443541155,0,0,4,1,0,4,0,1,1,2,0,4
75,136.42407874750805,-146.0676207283141,-64.79449041910674,0,0,3,1,0,2,0,1,1,2,0,3
61,-156.63129657161744,140.11927985698574,77.51150622679853,0,3,1,2,2,0,0,1,1,0,3,1
49,257.94333307248513,3.8261029085281937,-87.29782257956794,0,0,4,1,0,4,0,1,1,2,0,4
101,79.34750622193056,-184.66263087067486,-124.94519376489694,0,0,3,1,0,2,0,1,1,2,0,3
115,-249.527597774322,183.97118730341936,292.2378946943304,2,2,2,0,1,1,0,0,4,1,1,0
129,112.34240747360644,-94.75077829526381,-140.09422238089363,0,0,3,1,0,2,0,1,1,2,0,3
103,-103.76638612343241,26.666569257948094,-36.54170395371834,0,0,3,1,0,2,0,1,1,0,2,2
117,-6.183126564876977,-47.15559508524333,-99.41461285895303,0,0,3,1,0,2,0,1,1,0,2,2
77,72.69082247729789,-42.168456119365906,32.88831990371235,0,0,3,1,0,2,0,1,1,2,0,3
63,-239.74273429360704,113.66101376048056,336.8440599245675,2,2,2,0,1,1,0,0,4,1,1,0
88,83.34747777742514,86.36139275994724,-37.71790330320636,0,0,3,1,0,2,0,1,1,2,0,3
89,57.92503322742425,-110.52143573774453,-15.888535142669674,0,0,3,1,0,2,0,1,1,2,0,3
62,-171.02351044471678,-17.673247330783504,237.70867994136702,0,3,1,2,2,0,0,1,1,0,3,1
76,-102.53414954730981,84.52922639963039,-193.83835642488987,0,3,1,2,2,0,0,1,1,0,3,1
116,284.75986650509225,-37.49620977519039,-5.966001643520492,0,0,4,1,0,4,0,1,1,2,0,4
102,174.48731483611454,-88.78802347090762,-61.276803722786894,0,0,3,1,0,4,0,1,1,2,0,3
11,136.63188810613127,-35.99386326174436,41.582494067144296,0,0,3,1,0,2,0,1,1,2,0,3
5,61.04058741721815,-25.591889453636178,-15.90008986491761,0,0,3,1,0,2,0,1,1,2,0,3
39,305.7467669204937,53.76787807646408,-29.94839204521555,0,0,4,1,0,4,0,1,1,2,0,4
38,24.777109398896272,22.577714514070117,29.225932862498063,0,0,3,1,0,2,0,1,1,0,2,2
4,-38.14087146056307,75.49658168111037,-17.945887069544593,0,0,3,1,0,2,0,1,1,0,2,2
10,-73.26696456909426,246.4191694493696,-96.18155792082219,0,3,1,2,2,0,0,1,1,0,3,1
6,-181.5585149994099,131.4645654121271,148.05850842343392,0,3,1,2,2,0,0,1,1,0,3,1
12,80.95381174749987,-51.26549828811551,96.95417427360624,0,0,3,1,0,2,0,1,1,2,0,3
13,81.56018089676061,10.129392659755664,-60.35698746516739,0,0,3,1,0,2,0,1,1,2,0,3
7,22.021552847779276,79.79733079726192,69.2457767766513,0,0,3,1,0,2,0,1,1,0,2,2
3,88.82903885845562,-100.34732000572664,-105.35481066810102,0,0,3,1,0,2,0,1,1,2,0,3
17,205.90743286884452,-4.2797463529123965,75.34275817630207,0,0,3,1,0,4,0,1,1,2,0,3
16,-70.8747091180081,-80.59931860194682,-34.16950737195961,0,0,3,1,0,2,0,1,1,0,2,2
2,284.4776794657005,57.33324982993811,-69.40231973360302,0,0,4,1,0,4,0,1,1,2,0,4
28,9.953911466026597,109.1514944866059,37.46289874271876,0,0,3,1,0,2,0,1,1,0,2,2
14,319.08874540101783,97.23729991367443,-26.60004289156551,0,0,4,1,0,4,0,1,1,2,0,4
0,11.376575741017948,-12.67785789384525,151.10265145075843,0,3,1,2,2,0,0,1,1,0,2,2
1,21.681896235855834,116.21038227378371,-32.8089176049682,0,0,3,1,0,2,0,1,1,0,2,2
15,284.2824088452172,31.420054184002048,-46.53781214204571,0,0,4,1,0,4,0,1,1,2,0,4
29,86.13042496432286,17.28215276282143,-42.29451343520676,0,0,3,1,0,2,0,1,1,2,0,3
30,6.033305220210316,-90.27582115991588,5.614435460889289,0,0,3,1,0,2,0,1,1,0,2,2
24,-102.88283642275975,177.2801243493647,-134.84182045746226,0,3,1,2,2,0,0,1,1,0,3,1
18,-222.856990606234,-70.3518844205022,568.9303203235385,1,1,0,0,3,3,2,2,2,1,1,0
19,-142.82507987134935,37.305048741037005,36.08767700806071,0,3,1,2,2,0,0,1,1,0,2,2
25,-180.9469350346179,-65.64634135790781,229.30758813677747,0,3,1,2,2,0,0,1,1,0,3,1
31,18.92280640720368,-123.05992162324982,15.117051525333004,0,0,3,1,0,2,0,1,1,0,2,2
27,-444.12807293380905,164.47689776100862,60.649178532905985,2,2,2,0,1,1,0,0,0,1,1,0
33,147.80531218940584,36.47115732963818,-38.844577406638734,0,0,3,1,0,2,0,1,1,2,0,3
32,-249.54494454404752,147.3733860895653,-17.00405442609938,0,3,1,2,2,0,0,1,1,0,3,1
26,-278.0844607713732,138.19922629014496,-124.2206188017176,0,3,1,2,2,0,0,1,1,0,3,1
22,-20.571650428570667,10.686447155141918,-116.08127736049526,0,0,3,1,0,2,0,1,1,0,2,2
36,-59.26110680050019,-23.477121979277474,-38.939357335792764,0,0,3,1,0,2,0,1,1,0,2,2
37,-83.56229018301065,90.978494044837,171.51511401471961,0,3,1,2,2,0,0,1,1,0,3,1
23,-279.098197059064,68.16231602141285,-42.73446608548838,0,3,1,2,2,0,0,1,1,0,3,1
9,-38.84015679444464,-102.86802909834464,-66.91402118136243,0,0,3,1,0,2,0,1,1,0,2,2
35,263.13204598246756,-26.02947939275389,-54.6130592764928,0,0,4,1,0,4,0,1,1,2,0,4
21,-17.326742290425997,-139.60714098855217,-156.43401420814988,0,0,3,1,0,2,0,1,1,0,2,2
20,-277.64083531727204,17.42671683608218,-39.72028436688543,0,3,1,2,2,0,0,1,1,0,3,1
34,10.514984876342437,-120.71020230451543,-95.22443037385226,0,0,3,1,0,2,0,1,1,0,2,2
8,-311.28112686506495,7.277457213790471,121.585179642253,0,3,1,2,2,0,0,1,1,0,3,1
127,220.07703152764614,-61.66593346306674,7.230278018440758,0,0,3,1,0,4,0,1,1,2,0,3
133,88.5976363963696,-187.70462478395476,-23.388238696717178,0,0,3,1,0,2,0,1,1,2,0,3
53,107.0980562285979,44.17705338467516,-14.111815239882187,0,0,3,1,0,2,0,1,1,2,0,3
47,186.0580879161009,-72.62967705152764,57.796187263825296,0,0,3,1,0,4,0,1,1,2,0,3
90,135.80901687776606,118.89806549912106,-50.65238419946699,0,0,3,1,0,2,0,1,1,2,0,3
84,-58.90769708786896,-53.76635637491627,-109.74948192389832,0,0,3,1,0,2,0,1,1,0,2,2
