#FocalAdhesion's CSV 
#number,center_x,center_y,length_x,length_y,area,aspect_ratio,orientation,main_axis_start_x,main_axis_start_y,main_axis_end_x,main_axis_end_y,side_axis_start_x,side_axis_start_y,side_axis_end_x,side_axis_end_y,keep
0,346.0,536.0,180.20543831971332,111.41728122754218,5734,1.6173921705349137,0.24094100000807706,259.0,515.0,434.0,558.0,286.0,579.0,312.58600726735233,470.8011332142637,1
1,468.0,277.0,23.769728648009426,19.184064183172136,354,1.239035087719303,5.89486658900712,457.0,282.0,479.0,273.0,475.0,285.0,467.73628318584076,267.2442477876107,1
2,389.0,472.0,27.892651361962706,23.44703597779386,245,1.1896024464831796,0.2536740961386427,376.0,469.0,403.0,476.0,391.0,485.0,396.8843187660668,462.3033419023136,1
3,394.0,592.0,18.439088914585774,13.883549300393947,89,1.3281250000000047,0.21866894587394195,385.0,590.0,403.0,594.0,399.0,586.0,395.98823529411766,599.5529411764705,1
4,455.0,470.0,9.486832980505138,9.486832980505174,66,0.9999999999999962,1.2490457723982544,454.0,466.0,457.0,475.0,451.0,472.0,459.9999999999999,468.99999999999955,1
5,417.0,529.0,13.416407864998739,7.155417527999327,61,1.8750000000000002,1.1071487177940904,414.0,523.0,420.0,535.0,415.0,533.0,421.4,529.8,1
6,303.0,483.0,9.433981132056603,6.995986008042024,43,1.348484848484839,0.5585993153435624,299.0,481.0,307.0,486.0,304.0,480.0,300.29213483146077,485.93258426966304,1
7,402.0,504.0,9.433981132056603,15.263969472091633,36,0.6180555555555535,1.0121970114513341,400.0,500.0,405.0,508.0,409.0,500.0,396.05617977528084,508.08988764044943,1
8,142.0,290.0,10.295630140987,9.518601451101178,36,1.0816326530612257,1.0636978224025597,140.0,286.0,145.0,295.0,139.0,294.0,147.32075471698113,289.37735849056605,1
9,262.0,506.0,10.44030650891055,4.597566169061559,30,2.2708333333333175,5.9917285127017195,257.0,508.0,267.0,505.0,259.0,505.0,260.3211009174312,509.4036697247707,1
10,434.0,501.0,9.055385138137417,7.067617668790179,28,1.28125,4.8230462015585855,434.0,506.0,435.0,497.0,438.0,502.0,430.9756097560976,501.21951219512175,1
